	Genotype	Sbj_id	Treatment	Sbj_alt
A_M0	Geno_1	A	Before	SbjA
A_M4	Geno_1	A	After	SbjA
B_M0	Geno_1	B	Before	SbjB
B_M4	Geno_1	B	After	SbjB
C_M0	Geno_1	C	Before	SbjC
C_M4	Geno_1	C	After	SbjC
D_M0	Geno_1	D	Before	SbjD
D_M4	Geno_1	D	After	SbjD
E_M0	Geno_1	E	Before	SbjE
E_M4	Geno_1	E	After	SbjE
G_M0	Geno_1	G	Before	SbjG
G_M4	Geno_1	G	After	SbjG
I_M0	Geno_2	I	Before	SbjA
I_M4	Geno_2	I	After	SbjA
K_M0	Geno_2	K	Before	SbjB
K_M4	Geno_2	K	After	SbjB
L_M0	Geno_2	L	Before	SbjC
L_M4	Geno_2	L	After	SbjC
N_M0	Geno_2	N	Before	SbjD
N_M4	Geno_2	N	After	SbjD
O_M0	Geno_2	O	Before	SbjE
O_M4	Geno_2	O	After	SbjE
P_M0	Geno_2	P	Before	SbjG
P_M4	Geno_2	P	After	SbjG
